PLAYER_ID,PLAYER_NAME_post,TEAM_ID_post,TEAM_ABBREVIATION_post,AGE_post,GP_post,MIN_post,PIE_post,USG_PCT_post,PLAYER_NAME_pre,TEAM_ID_pre,TEAM_ABBREVIATION_pre,AGE_pre,GP_pre,MIN_pre,PIE_pre,USG_PCT_pre,PIE_previous,PIE_following,GP_following,TEAM_ID_following,TEAM_ABBREVIATION_following,season,avg_wins_3yr,PIE_change,USG_change,PIE_diff,POSITION_simplified,OVERALL_PICK,change_team
202711,Bojan Bogdanovic,1610612751,BKN,26.0,27,25.8,0.092,0.18,Bojan Bogdanovic,1610612751,BKN,26.0,51,22.7,0.06,0.162,,0.072,79.0,1610612751.0,BKN,2014-15,38.333333333333336,0.032,0.017999999999999988,-0.020000000000000004,Forward,31.0,False
101139,CJ Miles,1610612754,IND,28.0,27,28.2,0.107,0.223,CJ Miles,1610612754,IND,28.0,43,25.1,0.08,0.235,0.092,0.082,64.0,1610612754.0,IND,2014-15,49.0,0.026999999999999996,-0.011999999999999983,-0.024999999999999994,Guard,34.0,False
201978,Chase Budinger,1610612750,MIN,27.0,23,27.4,0.105,0.164,Chase Budinger,1610612750,MIN,27.0,44,14.9,0.068,0.158,0.066,0.074,66.0,1610612756.0,PHX,2014-15,32.333333333333336,0.03699999999999999,0.006000000000000005,-0.031,Forward,44.0,True
201568,Danilo Gallinari,1610612743,DEN,26.0,24,31.2,0.124,0.228,Danilo Gallinari,1610612743,DEN,26.0,35,19.3,0.098,0.198,,0.124,53.0,1610612743.0,DEN,2014-15,43.666666666666664,0.025999999999999995,0.03,0.0,Forward,6.0,False
203901,Elfrid Payton,1610612753,ORL,21.0,26,35.4,0.108,0.179,Elfrid Payton,1610612753,ORL,21.0,56,28.0,0.079,0.179,,0.091,73.0,1610612753.0,ORL,2014-15,26.666666666666668,0.028999999999999998,0.0,-0.017,Guard,10.0,False
203477,Isaiah Canaan,1610612755,PHI,24.0,22,25.9,0.086,0.225,Isaiah Canaan,1610612755,PHI,24.0,25,14.8,0.083,0.189,0.045,0.071,77.0,1610612755.0,PHI,2014-15,29.333333333333332,0.002999999999999989,0.036000000000000004,-0.015,Guard,34.0,False
203109,Jae Crowder,1610612738,BOS,24.0,30,27.4,0.103,0.189,Jae Crowder,1610612738,BOS,24.0,52,15.9,0.081,0.149,0.077,0.103,73.0,1610612738.0,BOS,2014-15,35.0,0.021999999999999992,0.04000000000000001,0.0,Forward,34.0,False
202391,Jeremy Lin,1610612747,LAL,26.0,22,26.5,0.124,0.241,Jeremy Lin,1610612747,LAL,26.0,52,25.5,0.087,0.203,0.095,0.092,78.0,1610612766.0,CHA,2014-15,37.666666666666664,0.037000000000000005,0.03799999999999998,-0.032,Guard,61.0,True
203903,Jordan Clarkson,1610612747,LAL,23.0,28,32.6,0.121,0.239,Jordan Clarkson,1610612747,LAL,23.0,31,18.1,0.088,0.215,,0.087,79.0,1610612747.0,LAL,2014-15,37.666666666666664,0.033,0.023999999999999994,-0.034,Guard,46.0,False
203457,Nerlens Noel,1610612755,PHI,21.0,26,32.1,0.14,0.192,Nerlens Noel,1610612755,PHI,21.0,49,30.1,0.089,0.157,,0.113,67.0,1610612755.0,PHI,2014-15,29.333333333333332,0.05100000000000002,0.035,-0.02700000000000001,Forward,6.0,False
201956,Omri Casspi,1610612758,SAC,27.0,29,26.7,0.096,0.181,Omri Casspi,1610612758,SAC,27.0,38,16.9,0.108,0.183,0.095,0.102,69.0,1610612758.0,SAC,2014-15,26.0,-0.011999999999999997,-0.0020000000000000018,0.0059999999999999915,Forward,23.0,False
203492,Ray McCallum,1610612758,SAC,24.0,30,30.0,0.092,0.179,Ray McCallum,1610612758,SAC,24.0,38,14.1,0.067,0.169,0.063,0.065,41.0,1610612759.0,SAS,2014-15,26.0,0.024999999999999994,0.009999999999999981,-0.026999999999999996,Guard,36.0,True
203497,Rudy Gobert,1610612762,UTA,23.0,29,34.4,0.174,0.144,Rudy Gobert,1610612762,UTA,23.0,53,21.9,0.149,0.132,0.09,0.126,61.0,1610612762.0,UTA,2014-15,34.666666666666664,0.024999999999999994,0.011999999999999983,-0.04799999999999999,Center,27.0,False
203527,Ryan Kelly,1610612747,LAL,24.0,29,27.5,0.057,0.144,Ryan Kelly,1610612747,LAL,24.0,23,18.9,0.045,0.133,0.072,0.085,36.0,1610612747.0,LAL,2014-15,37.666666666666664,0.012000000000000004,0.010999999999999982,0.028000000000000004,Forward,48.0,False
203499,Shane Larkin,1610612752,NYK,22.0,26,29.2,0.088,0.137,Shane Larkin,1610612752,NYK,22.0,50,22.1,0.072,0.132,0.053,0.094,78.0,1610612751.0,BKN,2014-15,42.333333333333336,0.016,0.0050000000000000044,0.006000000000000005,Guard,18.0,True
203504,Trey Burke,1610612762,UTA,22.0,24,27.0,0.107,0.265,Trey Burke,1610612762,UTA,22.0,52,31.5,0.078,0.219,0.083,0.099,64.0,1610612762.0,UTA,2014-15,34.666666666666664,0.028999999999999998,0.04600000000000001,-0.007999999999999993,Guard,9.0,False
201961,Wayne Ellington,1610612747,LAL,27.0,21,31.7,0.06,0.191,Wayne Ellington,1610612747,LAL,27.0,44,22.9,0.098,0.175,0.068,0.068,76.0,1610612751.0,BKN,2014-15,37.666666666666664,-0.038000000000000006,0.016000000000000014,0.008000000000000007,Guard,28.0,True
203897,Zach LaVine,1610612750,MIN,20.0,29,29.7,0.097,0.246,Zach LaVine,1610612750,MIN,20.0,48,21.7,0.065,0.196,,0.091,82.0,1610612750.0,MIN,2014-15,32.333333333333336,0.032,0.04999999999999999,-0.006000000000000005,Guard,13.0,False
203458,Alex Len,1610612756,PHX,23.0,27,30.6,0.088,0.227,Alex Len,1610612756,PHX,23.0,51,19.5,0.093,0.18,0.084,0.095,77.0,1610612756.0,PHX,2015-16,37.333333333333336,-0.0050000000000000044,0.047000000000000014,0.007000000000000006,Center,5.0,False
1626164,Devin Booker,1610612756,PHX,19.0,28,35.3,0.076,0.258,Devin Booker,1610612756,PHX,19.0,48,23.3,0.072,0.2,,0.089,78.0,1610612756.0,PHX,2015-16,37.333333333333336,0.0040000000000000036,0.057999999999999996,0.012999999999999998,Guard,13.0,False
1626144,Emmanuel Mudiay,1610612743,DEN,20.0,28,30.7,0.082,0.253,Emmanuel Mudiay,1610612743,DEN,20.0,40,30.2,0.058,0.247,,0.074,55.0,1610612743.0,DEN,2015-16,41.0,0.024,0.006000000000000005,-0.008000000000000007,Guard,7.0,False
201577,Robin Lopez,1610612752,NYK,28.0,27,30.2,0.125,0.18,Robin Lopez,1610612752,NYK,28.0,55,25.5,0.095,0.171,0.089,0.083,81.0,1610612741.0,CHI,2015-16,36.0,0.03,0.00899999999999998,-0.041999999999999996,Center,15.0,True
203897,Zach LaVine,1610612750,MIN,21.0,28,35.0,0.082,0.197,Zach LaVine,1610612750,MIN,21.0,54,24.3,0.097,0.252,0.079,0.095,47.0,1610612750.0,MIN,2015-16,29.0,-0.015,-0.05499999999999999,0.012999999999999998,Guard,13.0,False
1627741,Buddy Hield,1610612758,SAC,24.0,25,29.1,0.103,0.227,Buddy Hield,1610612758,SAC,24.0,57,20.4,0.072,0.198,,0.109,80.0,1610612758.0,SAC,2016-17,30.0,0.031,0.028999999999999998,0.006000000000000005,Guard,6.0,False
203901,Elfrid Payton,1610612753,ORL,23.0,24,30.1,0.141,0.203,Elfrid Payton,1610612753,ORL,23.0,58,29.1,0.105,0.215,0.091,0.108,63.0,1610612756.0,PHX,2016-17,27.666666666666668,0.03599999999999999,-0.011999999999999983,-0.03299999999999999,Guard,10.0,True
203994,Jusuf Nurkić,1610612757,POR,22.0,19,29.6,0.132,0.251,Jusuf Nurkić,1610612757,POR,22.0,46,18.0,0.107,0.22,0.085,0.127,79.0,1610612757.0,POR,2016-17,49.666666666666664,0.02500000000000001,0.031,-0.0050000000000000044,Center,16.0,False
1627737,Marquese Chriss,1610612756,PHX,19.0,25,26.9,0.084,0.194,Marquese Chriss,1610612756,PHX,19.0,57,18.8,0.05,0.194,,0.075,72.0,1610612756.0,PHX,2016-17,36.666666666666664,0.034,0.0,-0.009000000000000008,Forward,8.0,False
1626158,Richaun Holmes,1610612755,PHI,23.0,26,26.9,0.13,0.186,Richaun Holmes,1610612755,PHI,23.0,31,15.9,0.097,0.181,0.082,0.115,48.0,1610612755.0,PHI,2016-17,15.666666666666666,0.033,0.0050000000000000044,-0.015,Forward,37.0,False
203496,Robert Covington,1610612755,PHI,26.0,17,33.2,0.116,0.2,Robert Covington,1610612755,PHI,26.0,50,31.1,0.082,0.183,0.09,0.09,80.0,1610612755.0,PHI,2016-17,15.666666666666666,0.034,0.017000000000000015,-0.02600000000000001,Forward,61.0,False
203933,T.J. Warren,1610612756,PHX,23.0,22,35.0,0.123,0.185,T.J. Warren,1610612756,PHX,23.0,44,29.0,0.072,0.19,0.092,0.107,65.0,1610612756.0,PHX,2016-17,36.666666666666664,0.051000000000000004,-0.0050000000000000044,-0.016,Forward,14.0,False
1627789,Timothe Luwawu-Cabarrot,1610612755,PHI,22.0,26,26.8,0.062,0.183,Timothe Luwawu-Cabarrot,1610612755,PHI,22.0,43,11.5,0.039,0.163,,0.041,52.0,1610612755.0,PHI,2016-17,15.666666666666666,0.023,0.01999999999999999,-0.020999999999999998,Guard,24.0,False
1626161,Willie Cauley-Stein,1610612758,SAC,23.0,25,30.9,0.112,0.199,Willie Cauley-Stein,1610612758,SAC,23.0,50,13.0,0.098,0.191,0.088,0.115,73.0,1610612758.0,SAC,2016-17,30.0,0.013999999999999999,0.008000000000000007,0.0030000000000000027,Center,6.0,False
1627741,Buddy Hield,1610612758,SAC,25.0,25,28.9,0.127,0.239,Buddy Hield,1610612758,SAC,25.0,55,23.7,0.099,0.234,0.084,0.11,82.0,1610612758.0,SAC,2017-18,31.333333333333332,0.027999999999999997,0.004999999999999977,-0.017,Guard,6.0,False
1628373,Frank Ntilikina,1610612752,NYK,19.0,22,26.4,0.053,0.157,Frank Ntilikina,1610612752,NYK,19.0,56,20.1,0.045,0.171,,0.039,43.0,1610612752.0,NYK,2017-18,26.666666666666668,0.008,-0.014000000000000012,-0.013999999999999999,Guard,8.0,False
1626185,Jarell Martin,1610612763,MEM,24.0,20,29.7,0.077,0.185,Jarell Martin,1610612763,MEM,24.0,53,20.1,0.059,0.158,0.069,0.065,42.0,1610612753.0,ORL,2017-18,46.666666666666664,0.018000000000000002,0.026999999999999996,-0.011999999999999997,Forward,25.0,True
1628367,Josh Jackson,1610612756,PHX,21.0,20,30.9,0.1,0.284,Josh Jackson,1610612756,PHX,21.0,57,23.5,0.059,0.239,,0.073,79.0,1610612756.0,PHX,2017-18,28.666666666666668,0.04100000000000001,0.044999999999999984,-0.02700000000000001,Guard,4.0,False
1628382,Justin Jackson,1610612758,SAC,23.0,25,26.8,0.064,0.127,Justin Jackson,1610612758,SAC,23.0,43,19.5,0.064,0.149,,0.076,81.0,1610612742.0,DAL,2017-18,31.333333333333332,0.0,-0.021999999999999992,0.011999999999999997,Forward,15.0,True
1626209,Mario Hezonja,1610612753,ORL,23.0,25,27.0,0.097,0.202,Mario Hezonja,1610612753,ORL,23.0,50,19.7,0.092,0.193,0.059,0.082,58.0,1610612752.0,NYK,2017-18,29.666666666666668,0.0050000000000000044,0.009000000000000008,-0.015,Guard,5.0,True
1627752,Taurean Prince,1610612737,ATL,24.0,23,30.5,0.117,0.262,Taurean Prince,1610612737,ATL,24.0,59,29.9,0.079,0.197,0.074,0.075,55.0,1610612737.0,ATL,2017-18,50.333333333333336,0.038000000000000006,0.065,-0.04200000000000001,Forward,12.0,False
1629012,Collin Sexton,1610612739,CLE,20.0,24,35.0,0.089,0.246,Collin Sexton,1610612739,CLE,20.0,58,30.4,0.064,0.248,,0.095,65.0,1610612739.0,CLE,2018-19,52.666666666666664,0.024999999999999994,-0.0020000000000000018,0.006000000000000005,Guard,8.0,False
1628422,Damyean Dotson,1610612752,NYK,25.0,24,33.0,0.072,0.184,Damyean Dotson,1610612752,NYK,25.0,49,24.7,0.078,0.16,0.092,0.079,48.0,1610612752.0,NYK,2018-19,30.666666666666668,-0.006000000000000005,0.023999999999999994,0.007000000000000006,Guard,44.0,False
1628402,Frank Jackson,1610612740,NOP,21.0,17,29.4,0.07,0.189,Frank Jackson,1610612740,NOP,21.0,44,15.2,0.051,0.17,,0.055,59.0,1610612740.0,NOP,2018-19,37.333333333333336,0.01900000000000001,0.01899999999999999,-0.015000000000000006,Guard,31.0,False
1628973,Jalen Brunson,1610612742,DAL,22.0,24,29.3,0.101,0.201,Jalen Brunson,1610612742,DAL,22.0,49,18.1,0.077,0.175,,0.107,57.0,1610612742.0,DAL,2018-19,33.0,0.024000000000000007,0.026000000000000023,0.0059999999999999915,Guard,33.0,False
1629026,Kenrich Williams,1610612740,NOP,24.0,23,29.6,0.053,0.113,Kenrich Williams,1610612740,NOP,24.0,23,17.3,0.078,0.128,,0.052,39.0,1610612740.0,NOP,2018-19,37.333333333333336,-0.025,-0.015,-0.0010000000000000009,Guard,61.0,False
1629011,Mitchell Robinson,1610612752,NYK,21.0,24,25.4,0.135,0.122,Mitchell Robinson,1610612752,NYK,21.0,42,17.9,0.098,0.117,,0.129,61.0,1610612752.0,NYK,2018-19,30.666666666666668,0.037000000000000005,0.0049999999999999906,-0.006000000000000005,Forward,36.0,False
203107,Tomas Satoransky,1610612764,WAS,27.0,24,32.9,0.093,0.144,Tomas Satoransky,1610612764,WAS,27.0,56,24.5,0.091,0.137,0.106,0.094,65.0,1610612741.0,CHI,2018-19,44.333333333333336,0.0020000000000000018,0.0069999999999999785,0.0010000000000000009,Guard,32.0,True
1629027,Trae Young,1610612737,ATL,20.0,23,33.1,0.151,0.299,Trae Young,1610612737,ATL,20.0,58,30.0,0.105,0.267,,0.16,60.0,1610612737.0,ATL,2018-19,38.333333333333336,0.046,0.03199999999999997,0.009000000000000008,Guard,5.0,False
1630162,Anthony Edwards,1610612750,MIN,19.0,36,35.2,0.11,0.276,Anthony Edwards,1610612750,MIN,19.0,36,29.1,0.072,0.25,,0.111,72.0,1610612750.0,MIN,2020-21,34.0,0.038000000000000006,0.026000000000000023,0.0010000000000000009,Guard,1.0,False
1627741,Buddy Hield,1610612758,SAC,28.0,35,33.7,0.096,0.203,Buddy Hield,1610612758,SAC,28.0,36,34.8,0.074,0.198,0.104,0.084,81.0,1610612754.0,IND,2020-21,32.333333333333336,0.022000000000000006,0.0050000000000000044,-0.011999999999999997,Guard,6.0,True
1629643,Chuma Okeke,1610612753,ORL,22.0,25,27.8,0.095,0.168,Chuma Okeke,1610612753,ORL,22.0,20,21.8,0.066,0.1,,0.093,70.0,1610612753.0,ORL,2020-21,33.333333333333336,0.028999999999999998,0.068,-0.0020000000000000018,Forward,16.0,False
1630175,Cole Anthony,1610612753,ORL,21.0,22,27.5,0.102,0.258,Cole Anthony,1610612753,ORL,21.0,25,26.7,0.081,0.215,,0.106,65.0,1610612753.0,ORL,2020-21,33.333333333333336,0.02099999999999999,0.04300000000000001,0.0040000000000000036,Guard,15.0,False
1629636,Darius Garland,1610612739,CLE,21.0,26,33.4,0.114,0.257,Darius Garland,1610612739,CLE,21.0,28,32.9,0.088,0.234,0.057,0.134,68.0,1610612739.0,CLE,2020-21,29.333333333333332,0.02600000000000001,0.022999999999999993,0.020000000000000004,Guard,5.0,False
1629731,Dean Wade,1610612739,CLE,24.0,35,25.5,0.082,0.13,Dean Wade,1610612739,CLE,24.0,28,11.4,0.08,0.121,0.089,0.068,51.0,1610612739.0,CLE,2020-21,29.333333333333332,0.0020000000000000018,0.009000000000000008,-0.013999999999999999,Forward,61.0,False
1630171,Isaac Okoro,1610612739,CLE,20.0,36,31.8,0.054,0.16,Isaac Okoro,1610612739,CLE,20.0,31,33.2,0.032,0.123,,0.057,67.0,1610612739.0,CLE,2020-21,29.333333333333332,0.022,0.037000000000000005,0.0030000000000000027,Guard,5.0,False
1630183,Jaden McDaniels,1610612750,MIN,20.0,33,28.4,0.052,0.111,Jaden McDaniels,1610612750,MIN,20.0,30,19.1,0.046,0.129,,0.061,70.0,1610612750.0,MIN,2020-21,34.0,0.005999999999999998,-0.018000000000000002,0.009000000000000001,Forward,28.0,False
1628366,Lonzo Ball,1610612740,NOP,23.0,22,31.8,0.12,0.208,Lonzo Ball,1610612740,NOP,23.0,33,31.8,0.096,0.197,0.101,0.097,35.0,1610612741.0,CHI,2020-21,37.0,0.023999999999999994,0.010999999999999982,-0.022999999999999993,Guard,2.0,True
1629652,Luguentz Dort,1610612760,OKC,22.0,17,29.6,0.081,0.251,Luguentz Dort,1610612760,OKC,22.0,35,29.7,0.054,0.2,0.034,0.077,51.0,1610612760.0,OKC,2020-21,47.0,0.027000000000000003,0.05099999999999999,-0.0040000000000000036,Guard,61.0,False
1629638,Nickeil Alexander-Walker,1610612740,NOP,22.0,18,28.5,0.092,0.239,Nickeil Alexander-Walker,1610612740,NOP,22.0,28,17.7,0.085,0.216,0.069,0.072,65.0,1610612762.0,UTA,2020-21,37.0,0.006999999999999992,0.022999999999999993,-0.020000000000000004,Guard,17.0,True
1630180,Saddiq Bey,1610612765,DET,22.0,36,31.4,0.093,0.189,Saddiq Bey,1610612765,DET,22.0,34,22.9,0.09,0.172,,0.1,82.0,1610612765.0,DET,2020-21,33.333333333333336,0.0030000000000000027,0.017000000000000015,0.007000000000000006,Guard,19.0,False
